Name                                               |         Error LN*         |        Error Base         |       Virus Size LN       |      Virus Size Base      |     Mutation Rate LN      |    Mutation Rate Base     |     Mutation Guess LN     |       Mutation Guess Base

Apis mellifera                                     |    0.15334320733121842    |  1.1269299901282867e-09   |     5.568344503761097     |    261.99999999999983     |    -18.806343207331217    |   6.800000118545312e-09   |          -18.653          |     7.926930108673599e-09
Arabidopsis thaliana                               |    -0.5087758414729322    |  -2.7714436937190716e-09  |     4.784988587068875     |    119.69999694824219     |    -18.784524158527066    |   6.950000130956384e-09   |         -19.2933          |     4.178556437237313e-09
Caenorhabditis briggsae                            |    0.6263177526991512     |  1.1560409149573104e-09   |    4.6443908991413725     |    103.99999999999996     |    -20.439817752699152    |  1.3276999499822765e-09   |         -19.8135          |     2.483740864939587e-09
Caenorhabditis elegans                             |    0.39850227434066454    |   7.099084419296552e-10   |     4.608165725394189     |     100.3000030517578     |    -20.351702274340663    |  1.4500000089512353e-09   |         -19.9532          |    2.1599084508808904e-09
Daphnia pulex                                      |    0.3098555841151125     |   2.066768627616459e-09   |     5.521460917862246     |    249.99999999999983     |    -18.984555584115114    |  5.6900000267035044e-09   |         -18.6747          |     7.756768654319963e-09
Drosophila melanogaster                            |    0.17356073761492397    |   9.789376007770212e-10   |     5.128121971462072     |    168.69999694824216     |    -19.081360737614926    |   5.164999983264804e-09   |         -18.9078          |     6.143937584041825e-09
Heliconius melpomene                               |    1.0255550937807172     |   5.187064701264764e-09   |     5.612361420387637     |    273.79000854492176     |    -19.658555093780716    |   2.900000017902476e-09   |          -18.633          |      8.08706471916724e-09
Homo sapiens                                       |    0.14184536214169086    |   2.059294687296286e-09   |     8.101677747454572     |    3299.9999999999986     |    -18.11964536214169     |   1.351257150616904e-08   |         -17.9778          |    1.5571866193465325e-08
Mus musculus                                       |    1.0460668828745554     |   9.970742069519562e-09   |     7.907283609426348     |          2717.0           |    -19.036866882874556    |   5.400000002708791e-09   |         -17.9908          |    1.5370742072228352e-08
Oryza sativa                                       |    0.27137103270654706    |  2.2135080195043708e-09   |     5.963579343618446     |     388.9999999999997     |    -18.76317103270655     |   7.100000143367419e-09   |         -18.4918          |      9.31350816287179e-09
Pan troglodytes                                    |    0.26635917843290713    |  3.6624453385821386e-09   |     8.16735198705607      |    3524.0000000000005     |    -18.23835917843291     |   1.200000010470604e-08   |          -17.972          |     1.566244544328818e-08
Pristionchus pacificus                             |    1.1285186846683999     |   4.182148384531265e-09   |    5.1340321542569285     |     169.6999969482421     |     -20.0301186846684     |   1.999999943436138e-09   |         -18.9016          |     6.182148327967403e-09
Chlamydomonas reinhardtii                          |     2.134376325428512     |   2.830183631406279e-09   |     4.71043713800384      |    111.10071563720703     |    -21.69137632542851     |   3.797999970078798e-10   |          -19.557          |     3.209983628414159e-09
Neurospora crassa                                  |    -1.1847820903625959    |   -2.84634096106775e-09   |    3.6542879935484693     |     38.63999938964844     |    -19.312217909637404    |   4.100249917371463e-09   |          -20.497          |    1.2539089563037128e-09
Paramecium tetraurelia                             |    3.4019480136166393     |   5.63037052207949e-10    |     4.277978361219401     |     72.09454345703124     |    -24.66574801361664     |  1.9400000703106993e-11   |         -21.2638          |      5.82437052911056e-10
Plasmodium falciparum                              |    -0.2937233270661501    |  -5.304140373774067e-10   |     3.128951134034731     |    22.850000381469723     |    -19.98897667293385     |   2.08400008361309e-09    |         -20.2827          |    1.5535860462356832e-09
Saccharomyces cerevisiae                           |    0.49144734082329933    |   1.671748277251931e-10   |     2.522735124004458     |    12.462636947631836     |     -22.0573473408233     |  2.6339999625868493e-10   |         -21.5659          |    4.3057482398387803e-10
Schizosaccharomyces pombe                          |    1.5590183654369945     |   8.155520193290518e-10   |    2.9770589655357758     |    19.629999160766594     |    -22.250018365436993    |   2.172400037636638e-10   |          -20.691          |    1.0327920230927156e-09
Trypanosoma brucei                                 |    0.4194586473362314     |   7.176068124906551e-10   |     3.260995536559481     |     26.07548332214355     |    -20.40335864733623     |  1.3769999585022668e-09   |         -19.9839          |     2.094606770992922e-09
